Name,v0,rpe,100a,M2L,mbar,Jb,jb,D,Mr,Mbar,logMbar,logjbar,logMstar,logMgas,fgas,logjstar,logjgas
UGC2034,29.1,12.3,6.2,1.04,13.8,20.6,149.6,10.1,-17.2,1380000000,9.139879086,2.174931594,8.737033339,8.921270311,0.6044929285,,
UGC3371,99.1,66,-2.8,1.87,26,111,426.2,12.8,-17.7,2600000000,9.414973348,2.629613445,9.191841607,9.018950748,0.4017699031,,
UGC3711,92.2,12,0.3,0.46,7,14,198.3,8.6,-17.8,700000000,8.84509804,2.297322714,8.622757832,8.447894178,0.4006785913,,
UGC3966,42.7,10.2,2.1,0.08,1.4,1.1,76.8,6,-14.9,140000000,8.146128036,1.88536122,6.703089987,8.130180423,0.9639452946,,
UGC4173,27.9,20.3,14,2.88,40.1,132,329,16.8,-17.8,4010000000,9.603144373,2.517195898,9.419392488,9.140950528,0.3449897214,,
UGC4543,56.5,2.4,0.3,0.56,96.1,708.5,736.5,30.3,-19.2,9610000000,9.982723388,2.867172751,9.268188027,9.889619082,0.8070411779,,
UGC5272,9.2,9.1,58.8,0.2,1.8,1,57,6.1,-15.1,180000000,8.255272505,1.755874856,7.181029996,8.217032171,0.9157136028,,
UGC7047,5.9,2.3,13.8,0.25,1.2,0.5,39.8,3.5,-15.2,120000000,8.079181246,1.599883072,7.317940009,7.996537526,0.826715881,,
UGC7232,11.7,10,46,0.95,1.7,0.4,25.3,3.5,-15.3,170000000,8.230448921,1.403120521,7.937723605,7.920952341,0.4903468839,,
UGC7971,571.1,535,-281.9,1.02,7.2,5.2,72.9,8.4,-17.1,720000000,8.857332496,1.862727528,8.688600172,8.365108384,0.3219407025,,
UGC9211,91,42.4,-8,0.52,9.8,24.5,249.3,12.6,-16.2,980000000,8.991226076,2.396722279,8.036003344,8.940195926,0.889139389,,
UGC11861,206.9,58.2,-7.7,0.86,208.8,3178.2,1522.1,25.1,-20.8,20880000000,10.31973049,3.182443186,10.09449845,9.926816514,0.4046560331,,
KK246,,,,,,,,,,,8.25,1.84,7.70,8.11,0.7244359601,1.10,1.96
DDO47,,,,,,,,,,,8.87,2.42,7.55,8.85,0.954992586,2.06,2.43
UGC4115,,,,,,,,,,,8.74,2.09,7.57,8.71,0.9332543008,1.74,2.11
UGC3501,,,,,,,,,,,8.11,1.44,7.09,8.07,0.9120108394,1.36,1.45
J0737+4724,,,,,,,,,,,7.41,1.21,6.07,7.38,0.9332543008,0.92,1.22
J0926+3343,,,,,,,,,,,7.86,1.52,6.09,7.85,0.977237221,1.33,1.52
UGC5288,,,,,,,,,,,9.13,2.7,8.14,9.08,0.8912509381,2.16,2.73
UGC4148,,,,,,,,,,,9.11,2.53,7.46,9.10,0.977237221,2.24,2.53
J0630+23,,,,,,,,,,,9.33,2.65,8.22,9.29,0.9120108394,2.22,2.67
J0626+24,,,,,,,,,,,8.97,2.41,7.73,8.95,0.954992586,2.37,2.41
J0929+1155,,,,,,,,,,,8.7,2.32,7.43,8.68,0.954992586,2.23,2.32
